Variable,Group,Acr1,Acr2
Clouds,Atmosphere,CL,A. CL
Precipitation,Atmosphere,PR,A. PR
Winds/ storms,Atmosphere,WS,A. WS
CO2,Atmosphere,CO2,A. CO2
DMS,Atmosphere,DMS,A. DMS
Freshwater,Land-Ocean/Shelf-interior Connections,FW,LO. FW
Allochthonous organic carbon inputs,Land-Ocean/Shelf-interior Connections,AOC,LO. AOC
Allochthonous nutrient inputs,Land-Ocean/Shelf-interior Connections,ANI,LO. ANI
Allochthonous sediment inputs,Land-Ocean/Shelf-interior Connections,ASI,LO. ASI
Sea ice (extent/ thickness),Physical-Chemical Environment,SI,PC. SI
Stratification,Physical-Chemical Environment,STR,PC. STR
Light,Physical-Chemical Environment,LT,PC. LT
Temperature,Physical-Chemical Environment,TMP,PC. TMP
pH,Physical-Chemical Environment,PH,PC. PH
Nutrients,Physical-Chemical Environment,NT,PC. NT
Primary Production,Biological Community,PP,B. PP
Respiration,Biological Community,RS,B. RS
Higher trophic levels,Biological Community,HTL,B. HTL
Development,Human Impacts,DEV,H. DEV
Tourism,Human Impacts,TRM,H. TRM
Arctic policy and management,Human Impacts,APM,H. APM
Resource extraction ,Human Impacts,RE,H. RE
Pollution,Human Impacts,POL,H. POL
